owner,supplied_usd
Fz9CbCaksGpgmwxFPJFHH5SYRfmiyFmv6y29tAaN6roH,1426.681755
EkaagjHdqUgpbyY5BPFbGawKkN3erWAGV6Uvh3oLL2MY,1138.188461
22P7BMZx87yU4gq6WEfaFUaumLjdbGpDUy1UinW6tNXn,852.089455
BVAu4QnXjgdvNv2eQv9dK9vTDrjgT8m6wKhMc6ELxdm8,98.682478
4DRtrx3moyUocvLZUrfZHG9xG69MqiLrnhSzatrmDK3P,20.041596
6qWP977HvKLis7hkZdSGgsn35yUGk5FS9SUnAgLJfojn,30.085101
DoY3Aj3va8JS3GCaxdHgSr7C3ArUvJoTZ6Lbq7fZNhKZ,30046.870786
GhnAhYbtDCcVCHD5AeBTC7atCkVdSdFoAoAroHqoui63,93.886148
GvcqXpXpdjeM9VjC3YS8a4HZjCMwY7tuqmtBJ1QoWovM,0.151084
3ytGZ98UbCwa4m5gDsP9ugdDrQHUQAbyxDMX75tkoKL7,1.030269
D2aiR2wt9YUpsX8fBTrBCVpFZFtt1XEeLsY8gW4H5q9Q,514.137849
4J2XWXvhBTgieuZ7GB2hE3ZTxPgUYvWXiW27Q5cToDBj,0.000516
